City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,weather_description
496,Doha,QA,25.2867,51.5333,67.98,88,0,5.75,clear sky
497,Bagli,IN,22.65,76.35,50.27,43,0,5.48,clear sky
498,Wellington,NZ,-41.2866,174.7756,72.59,67,75,20.71,broken clouds
499,Ilhabela,BR,-23.7781,-45.3581,76.86,93,46,1.48,scattered clouds
500,Uruzgan,AF,32.8333,66.0,28.76,32,4,6.76,clear sky
501,Pacific Grove,US,36.6177,-121.9166,52.52,85,100,11.01,overcast clouds
502,Amahai,ID,-3.3333,128.9167,80.83,80,100,3.15,overcast clouds
503,Cacheu,GW,12.2706,-16.1658,70.43,53,65,5.12,broken clouds
504,Anaco,VE,9.4389,-64.4728,77.65,64,39,5.91,scattered clouds
505,Zeya,RU,53.75,127.2667,-36.9,99,64,2.33,broken clouds
506,Cristalina,BR,-16.7686,-47.6136,63.91,85,100,4.97,overcast clouds
507,Rantepao,ID,-2.9701,119.8978,68.25,93,86,2.01,light rain
508,Severobaykalsk,RU,55.65,109.3167,-8.3,81,100,2.59,overcast clouds
509,Magadan,RU,59.5667,150.8,-14.12,82,62,12.03,broken clouds
510,Leningradskiy,RU,69.3833,178.4167,-31.14,97,15,5.3,few clouds
511,Tambopata,PE,-12.7333,-69.1833,73.04,96,78,2.62,broken clouds
512,Hammerfest,NO,70.6634,23.6821,32.45,93,100,5.75,overcast clouds
513,Kamenka,RU,51.3223,42.7678,23.04,95,99,12.19,light snow
514,Guerrero Negro,MX,27.9769,-114.0611,65.53,71,51,14.83,broken clouds
515,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,65,100,10.36,overcast clouds
516,Barra Do Corda,BR,-5.5,-45.25,71.42,97,99,4.59,light rain
517,Tautira,PF,-17.7333,-149.15,78.91,68,85,3.51,overcast clouds
518,Orocue,CO,4.7912,-71.3354,86.56,40,86,4.88,overcast clouds
519,Sarahan,IN,31.5167,77.8,26.46,35,38,10.04,scattered clouds
520,Marmora,IT,44.4583,7.094,33.31,83,84,8.99,broken clouds
521,Wilmington,US,34.2257,-77.9447,48.88,46,0,3.44,clear sky
522,Aksu,CN,41.1231,80.2644,-1.55,92,7,5.12,clear sky
523,Lamballe,FR,48.4676,-2.5144,39.07,93,100,4.85,light snow
524,Dutlwe,BW,-23.9833,23.9,73.94,52,17,8.48,few clouds
525,Luanda,AO,-8.8368,13.2343,77.72,83,100,6.76,overcast clouds
526,Wajima,JP,37.4,136.9,37.17,60,100,5.97,overcast clouds
527,Beihai,CN,21.4833,109.1,47.5,76,100,15.99,overcast clouds
528,Slave Lake,CA,55.2834,-114.769,24.78,86,100,10.36,light snow
529,Shitkino,RU,56.3703,98.3543,16.81,93,100,10.94,light snow
530,Palana,RU,59.1167,159.9667,6.98,94,100,5.3,overcast clouds
531,Antalya,TR,36.7741,30.7178,51.1,81,75,6.91,broken clouds
532,Nabire,ID,-3.3667,135.4833,80.08,79,100,1.36,overcast clouds
533,Acarau,BR,-2.8856,-40.12,78.12,81,100,9.57,moderate rain
534,Boyolangu,ID,-8.1181,111.8935,75.22,91,96,1.5,overcast clouds
535,Manado,ID,1.487,124.8455,72.37,94,40,2.3,scattered clouds
536,Assomada,CV,15.1,-23.6833,70.47,68,100,7.49,overcast clouds
537,Paamiut,GL,61.994,-49.6678,1.96,74,100,14.12,overcast clouds
538,Santa Maria,BR,-29.6842,-53.8069,82.85,53,20,13.98,few clouds
539,Mehamn,NO,71.0357,27.8492,33.71,86,75,2.3,broken clouds
